Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/MSauthEntry,2597,0,190.0,243.5762093410884,20.18318399495911,26739.242462994298,27.0,1.4435666797320499,0.0,190,250,300,340,450,560,720,840,1200,27000,27000
GET,/MSbookflightsEntry,2598,0,660.0,715.3804476703029,97.24527399521321,2442.7152070129523,41.0,1.4441225390619428,0.0,660,790,880,950,1100,1300,1500,1700,2200,2400,2400
GET,/MScancelbookingEntry,2597,0,310.0,364.44796808077433,40.71846899751108,1524.2569770052796,45.0,1.4435666797320499,0.0,310,400,470,520,670,820,990,1100,1400,1500,1500
GET,/MSqueryflightsEntry,2597,0,79,122.55782832907607,7.897495001088828,1331.782966008177,43.0,1.4435666797320499,0.0,79,130,160,190,280,370,500,580,850,1300,1300
GET,/MSupdateprofileEntry,2600,0,170.0,242.14613532923977,8.459813994704746,3215.485312990495,45.0,1.4452342577217288,0.0,170,260,330,390,540,740,940,1200,1700,3200,3200
GET,/MSviewprofileEntry,2600,0,120.0,180.49264393889013,8.274623993202113,1229.3093109910842,41.0,1.4452342577217288,0.0,120,190,250,290,420,550,720,890,1100,1200,1200
,Aggregated,15589,0,210.0,311.42091847326634,7.897495001088828,26739.242462994298,40.33440246327539,8.66529109370155,0.0,210,330,440,510,720,910,1100,1300,1900,3200,27000
