I      msbookflightsentry  2024-02-20 08:34:54.567  cpu:=300593052  rt:=934875403
I      msbookflightsentry  2024-02-20 08:34:54.177  cpu:=103991834  rt:=539442767
I      msbookflightsentry  2024-02-20 08:34:52.782  cpu:=12167155  rt:=562410635
I      msbookflightsentry  2024-02-20 08:34:52.430  cpu:=126375576  rt:=623221786
I      msbookflightsentry  2024-02-20 08:34:51.571  cpu:=228850377  rt:=1329236267
I      msbookflightsentry  2024-02-20 08:34:51.019  cpu:=69720713  rt:=331745709
I      msbookflightsentry  2024-02-20 08:34:50.634  cpu:=88711423  rt:=681009142
I      msbookflightsentry  2024-02-20 08:34:49.389  cpu:=41679041  rt:=414790639
I      msbookflightsentry  2024-02-20 08:34:49.199  cpu:=12776205  rt:=633903403
I      msbookflightsentry  2024-02-20 08:34:48.456  cpu:=52630305  rt:=1353702781
I      msbookflightsentry  2024-02-20 08:34:47.381  cpu:=10642789  rt:=577515245
I      msbookflightsentry  2024-02-20 08:34:47.117  cpu:=84075862  rt:=742196761
I      msbookflightsentry  2024-02-20 08:34:46.100  cpu:=57023394  rt:=895988103
I      msbookflightsentry  2024-02-20 08:34:45.738  cpu:=6439550  rt:=521056824
I      msbookflightsentry  2024-02-20 08:34:44.616  cpu:=5253062  rt:=558176112
I      msbookflightsentry  2024-02-20 08:34:43.942  cpu:=267272639  rt:=662195434
I      msbookflightsentry  2024-02-20 08:34:43.376  cpu:=33199049  rt:=1103966921
I      msbookflightsentry  2024-02-20 08:34:43.143  cpu:=108148567  rt:=781524000
I      msbookflightsentry  2024-02-20 08:34:42.118  cpu:=56981044  rt:=451651908
I      msbookflightsentry  2024-02-20 08:34:41.117  cpu:=14546396  rt:=269322942
I      msbookflightsentry  2024-02-20 08:34:41.062  cpu:=21741364  rt:=931936617
I      msbookflightsentry  2024-02-20 08:34:40.965  cpu:=30048460  rt:=613194783
I      msbookflightsentry  2024-02-20 08:34:39.678  cpu:=34136411  rt:=804328035
I      msbookflightsentry  2024-02-20 08:34:39.394  cpu:=70780909  rt:=610290272
I      msbookflightsentry  2024-02-20 08:34:39.254  cpu:=35507010  rt:=1037807898
I      msbookflightsentry  2024-02-20 08:34:37.957  cpu:=149942938  rt:=994294499
I      msbookflightsentry  2024-02-20 08:34:37.159  cpu:=109062830  rt:=778956787
I      msbookflightsentry  2024-02-20 08:34:35.908  cpu:=109023054  rt:=717773538
I      msbookflightsentry  2024-02-20 08:34:35.750  cpu:=32620879  rt:=255204350
I      msbookflightsentry  2024-02-20 08:34:34.986  cpu:=190742332  rt:=569271517
I      msbookflightsentry  2024-02-20 08:34:33.688  cpu:=258751486  rt:=910186402
I      msbookflightsentry  2024-02-20 08:34:33.613  cpu:=246123055  rt:=873780855
I      msbookflightsentry  2024-02-20 08:34:32.947  cpu:=141641591  rt:=290536154
I      msbookflightsentry  2024-02-20 08:34:31.074  cpu:=51866395  rt:=702788444
I      msbookflightsentry  2024-02-20 08:34:30.898  cpu:=23347778  rt:=850251418
I      msbookflightsentry  2024-02-20 08:34:29.926  cpu:=99231311  rt:=323405787
I      msbookflightsentry  2024-02-20 08:34:29.528  cpu:=4155489  rt:=328621170
I      msbookflightsentry  2024-02-20 08:34:29.010  cpu:=109884465  rt:=853569071
I      msbookflightsentry  2024-02-20 08:34:28.547  cpu:=91253848  rt:=1327053903
I      msbookflightsentry  2024-02-20 08:34:27.769  cpu:=125592008  rt:=545012836
I      msbookflightsentry  2024-02-20 08:34:26.619  cpu:=309820369  rt:=995014388
I      msbookflightsentry  2024-02-20 08:34:26.029  cpu:=110182808  rt:=470929066
I      msbookflightsentry  2024-02-20 08:34:25.384  cpu:=61056936  rt:=392835267
I      msbookflightsentry  2024-02-20 08:34:24.478  cpu:=155703923  rt:=522230408
I      msbookflightsentry  2024-02-20 08:34:24.347  cpu:=63142277  rt:=964664068
I      msbookflightsentry  2024-02-20 08:34:22.926  cpu:=73391160  rt:=428477298
I      msbookflightsentry  2024-02-20 08:34:22.330  cpu:=53705064  rt:=799203712
I      msbookflightsentry  2024-02-20 08:34:22.276  cpu:=19063047  rt:=691844408
I      msbookflightsentry  2024-02-20 08:34:20.514  cpu:=65323809  rt:=738144459
I      msbookflightsentry  2024-02-20 08:34:20.238  cpu:=263947735  rt:=884261674
I      msbookflightsentry  2024-02-20 08:34:19.965  cpu:=246423265  rt:=867838157
I      msbookflightsentry  2024-02-20 08:34:18.007  cpu:=285956493  rt:=837302316
I      msbookflightsentry  2024-02-20 08:34:17.849  cpu:=54325871  rt:=411687935
I      msbookflightsentry  2024-02-20 08:34:17.397  cpu:=33568366  rt:=521701052
I      msbookflightsentry  2024-02-20 08:34:16.720  cpu:=105627294  rt:=944204327
