name,ncopt,ntopt
MSauthEntry,0.045041,16
MSvalidateidEntry,0.636562,2
MSviewprofileEntry,0.019413,2
MSupdateprofileEntry,0.041058,2
MSupdateMilesEntry,0.058060,2
MSbookflightsEntry,0.037052,4
MScancelbookingEntry,0.040474,3
MSqueryflightsEntry,0.017901,2
MSgetrewardmilesEntry,0.078184,2
