name,ncopt,ntopt
MSauthEntry,0.019293,22
MSvalidateidEntry,0.401656,2
MSviewprofileEntry,0.020401,2
MSupdateprofileEntry,0.020539,2
MSupdateMilesEntry,0.055294,2
MSbookflightsEntry,0.153321,3
MScancelbookingEntry,0.015770,7
MSqueryflightsEntry,0.026070,2
MSgetrewardmilesEntry,0.215593,2
