name,ncopt,ntopt
MSauthEntry,0.007405,2
MSvalidateidEntry,0.005918,2
MSviewprofileEntry,0.005969,2
MSupdateprofileEntry,0.113435,2
MSupdateMilesEntry,0.030875,2
MSbookflightsEntry,0.010635,5
MScancelbookingEntry,0.762923,2
MSqueryflightsEntry,0.020459,2
MSgetrewardmilesEntry,0.031737,2
