name,ncopt,ntopt
MSauthEntry,0.037896,3
MSvalidateidEntry,0.051563,2
MSviewprofileEntry,0.043330,2
MSupdateprofileEntry,0.040856,2
MSupdateMilesEntry,0.130137,2
MSbookflightsEntry,0.087066,4
MScancelbookingEntry,0.222427,2
MSqueryflightsEntry,0.047811,2
MSgetrewardmilesEntry,0.253870,2
