name,ncopt,ntopt
MSauthEntry,0.009730,2
MSvalidateidEntry,0.007108,2
MSviewprofileEntry,0.040233,2
MSupdateprofileEntry,0.035629,2
MSupdateMilesEntry,0.072676,2
MSbookflightsEntry,0.014897,31
MScancelbookingEntry,0.012302,19
MSqueryflightsEntry,0.025033,2
MSgetrewardmilesEntry,0.586729,2
