name,ncopt,ntopt
MSauthEntry,0.006063,13
MSvalidateidEntry,0.069413,2
MSviewprofileEntry,0.002373,2
MSupdateprofileEntry,0.004426,2
MSupdateMilesEntry,0.898591,2
MSbookflightsEntry,0.002058,296
MScancelbookingEntry,0.002112,145
MSqueryflightsEntry,0.002310,2
MSgetrewardmilesEntry,0.009471,2
