name,ncopt,ntopt
MSauthEntry,0.085208,2
MSvalidateidEntry,0.038113,2
MSviewprofileEntry,0.066493,2
MSupdateprofileEntry,0.048113,2
MSupdateMilesEntry,0.084762,2
MSbookflightsEntry,0.093826,5
MScancelbookingEntry,0.091720,3
MSqueryflightsEntry,0.029355,2
MSgetrewardmilesEntry,0.346536,2
