name,ncopt,ntopt
MSauthEntry,0.040882,11
MSvalidateidEntry,0.408669,2
MSviewprofileEntry,0.024038,2
MSupdateprofileEntry,0.113011,2
MSupdateMilesEntry,0.225629,2
MSbookflightsEntry,0.031121,8
MScancelbookingEntry,0.037557,4
MSqueryflightsEntry,0.020878,2
MSgetrewardmilesEntry,0.073508,2
