modelname,exptype,action,time
./lqnmodel_7.lqn,defconc,end,1710372620.53656
./lqnmodel_7.lqn,noconc,start,1710372900.459152
./lqnmodel_7.lqn,noconc,end,1710373502.282264
./lqnmodel_7.lqn,wlessconc,start,1710373769.463992
./lqnmodel_7.lqn,wlessend,end,1710374371.461581
./lqnmodel_10.lqn,defconc,start,1710375342.810389
./lqnmodel_10.lqn,defconc,end,1710375944.7571552
./lqnmodel_10.lqn,noconc,start,1710376216.703875
./lqnmodel_10.lqn,noconc,end,1710376818.547502
./lqnmodel_10.lqn,wlessconc,start,1710377091.343947
./lqnmodel_10.lqn,wlessend,end,1710377693.204978
./lqnmodel_11.lqn,defconc,start,1710378631.7881138
./lqnmodel_11.lqn,defconc,end,1710379233.138794
./lqnmodel_11.lqn,noconc,start,1710379506.273373
./lqnmodel_11.lqn,noconc,end,1710380107.312188
./lqnmodel_11.lqn,wlessconc,start,1710380390.9976509
./lqnmodel_11.lqn,wlessend,end,1710380993.241174
./lqnmodel_13.lqn,defconc,start,1710381952.465993
./lqnmodel_13.lqn,defconc,end,1710382553.967922
./lqnmodel_13.lqn,noconc,start,1710382835.450598
./lqnmodel_13.lqn,noconc,end,1710383436.70694
./lqnmodel_13.lqn,wlessconc,start,1710383705.700483
./lqnmodel_13.lqn,wlessend,end,1710384307.688898
./lqnmodel_12.lqn,defconc,start,1710385213.5293078
./lqnmodel_12.lqn,defconc,end,1710385815.039829
./lqnmodel_12.lqn,noconc,start,1710386083.96434
./lqnmodel_12.lqn,noconc,end,1710386685.918702
./lqnmodel_12.lqn,wlessconc,start,1710386957.134121
./lqnmodel_12.lqn,wlessend,end,1710387558.288864
./lqnmodel_16.lqn,defconc,start,1710388476.681512
./lqnmodel_16.lqn,defconc,end,1710389078.261287
./lqnmodel_16.lqn,noconc,start,1710389341.667851
./lqnmodel_16.lqn,noconc,end,1710389942.9609149
./lqnmodel_16.lqn,wlessconc,start,1710390205.360167
./lqnmodel_16.lqn,wlessend,end,1710390806.891613
./lqnmodel_17.lqn,defconc,start,1710391824.476587
./lqnmodel_17.lqn,defconc,end,1710392426.000392
./lqnmodel_17.lqn,noconc,start,1710392697.826025
./lqnmodel_17.lqn,noconc,end,1710393298.967524
./lqnmodel_17.lqn,wlessconc,start,1710393607.891281
./lqnmodel_17.lqn,wlessend,end,1710394209.937335
./lqnmodel_29.lqn,defconc,start,1710395177.2533948
./lqnmodel_29.lqn,defconc,end,1710395779.5172968
./lqnmodel_29.lqn,noconc,start,1710396043.469696
