name,ncopt,ntopt
MSauthEntry,0.016199,4
MSvalidateidEntry,0.037528,2
MSviewprofileEntry,0.368750,2
MSupdateprofileEntry,0.064161,2
MSupdateMilesEntry,0.150286,2
MSbookflightsEntry,0.011977,17
MScancelbookingEntry,0.095960,2
MSqueryflightsEntry,0.078407,2
MSgetrewardmilesEntry,0.132443,2
