name,ncopt,ntopt
MSauthEntry,65
MSvalidateidEntry,19
MSviewprofileEntry,61
MSupdateprofileEntry,19
MSupdateMilesEntry,17
MSbookflightsEntry,25
MScancelbookingEntry,24
MSqueryflightsEntry,32
MSgetrewardmilesEntry,25
