name,ncopt,ntopt
MSauthEntry,0.024605,5
MSvalidateidEntry,0.093354,2
MSviewprofileEntry,0.024548,2
MSupdateprofileEntry,0.088492,2
MSupdateMilesEntry,0.365423,2
MSbookflightsEntry,0.057568,8
MScancelbookingEntry,0.061565,4
MSqueryflightsEntry,0.044907,2
MSgetrewardmilesEntry,0.179432,2
