name,ncopt,ntopt
MSauthEntry,0.075644,3
MSvalidateidEntry,0.122910,2
MSviewprofileEntry,0.144722,2
MSupdateprofileEntry,0.033510,2
MSupdateMilesEntry,0.315288,2
MSbookflightsEntry,0.050831,7
MScancelbookingEntry,0.068441,4
MSqueryflightsEntry,0.030409,2
MSgetrewardmilesEntry,0.118402,2
