name,ncopt,ntopt
MSauthEntry,0.026757,6
MSvalidateidEntry,0.122120,2
MSviewprofileEntry,0.086770,2
MSupdateprofileEntry,0.026635,2
MSupdateMilesEntry,0.119893,2
MSbookflightsEntry,0.045631,9
MScancelbookingEntry,0.028409,7
MSqueryflightsEntry,0.028664,2
MSgetrewardmilesEntry,0.386124,2
