name,ncopt,ntopt
MSauthEntry,0.004518,3
MSvalidateidEntry,0.007264,2
MSviewprofileEntry,0.002951,2
MSupdateprofileEntry,0.011091,2
MSupdateMilesEntry,0.011046,2
MSbookflightsEntry,0.010773,46
MScancelbookingEntry,0.008991,28
MSqueryflightsEntry,0.004837,2
MSgetrewardmilesEntry,0.703895,2
