name,ncopt,ntopt
MSauthEntry,0.017373,2
MSvalidateidEntry,0.015679,2
MSviewprofileEntry,0.064035,2
MSupdateprofileEntry,0.019508,2
MSupdateMilesEntry,0.041171,2
MSbookflightsEntry,0.037268,5
MScancelbookingEntry,0.016313,6
MSqueryflightsEntry,0.576664,2
MSgetrewardmilesEntry,0.158861,2
